SISTEMA	DEPTO	SETOR         	SALARIO
RH  	DEPT. CMP	SETOR_C	5.475,83
RH  	DEPT. CMP	SETOR_C	6.432,15
RH  	DEPT. CMP	SETOR_C	2.925,00
RH  	DEPT. CMP	SETOR_C	2.925,00
RH  	DEPT. CMP	SETOR_C	2.925,00
RH  	DEPT. CMP	SETOR_C	2.925,00
RH  	DEPT. CMP	SETOR_C	2.925,00
RH  	DEPT. CMP	SETOR_C	1.235,00
RH  	DEPT. CMP	SETOR_C	2.925,00
RH  	DEPT. CMP	SETOR_C	1.950,00
RH  	DEPT. CMP	SETOR_C	2.925,00
RH  	DEPT. CMP	SETOR_C	1.950,00
RH  	DEPT. CMP	SETOR_C	2.925,00
RH  	DEPT. CMP	SETOR_C	4.550,00
RH  	DEPT. CMP	SETOR_C	2.470,00
RH  	DEPT. CMP	SETOR_C	10.776,86
RH  	DEPT. CMP	SETOR_C	4.225,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	7.020,01
RH  	DEPT. CMP	SETOR_C	1.950,00
RH  	DEPT. CMP	SETOR_C	1.114,10
RH  	DEPT. CMP	SETOR_C	4.225,00
RH  	DEPT. CMP	SETOR_C	4.225,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	10.776,86
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	1.430,00
RH  	DEPT. CMP	SETOR_C	4.225,00
RH  	DEPT. CMP	SETOR_C	1.625,00
RH  	DEPT. CMP	SETOR_C	1.105,00
RH  	DEPT. CMP	SETOR_C	2.925,00
RH  	DEPT. CMP	SETOR_C	780
RH  	DEPT. CMP	SETOR_C	3.523,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	3.900,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	1.430,00
RH  	DEPT. CMP	SETOR_C	1.105,00
RH  	DEPT. CMP	SETOR_C	1.300,00
RH  	DEPT. CMP	SETOR_C	1.703,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	1.950,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	10.776,86
RH  	DEPT. CMP	SETOR_C	1.300,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	4.342,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	2.925,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	997,75
RH  	DEPT. CMP	SETOR_C	1.309,39
RH  	DEPT. CMP	SETOR_C	1.400,75
RH  	DEPT. CMP	SETOR_C	1.400,75
RH  	DEPT. CMP	SETOR_C	1.309,39
RH  	DEPT. CMP	SETOR_C	3.250,00
RH  	DEPT. CMP	SETOR_C	3.250,00
RH  	DEPT. CMP	SETOR_C	1.866,80
RH  	DEPT. CMP	SETOR_C	1.309,39
RH  	DEPT. CMP	SETOR_C	1.690,00
RH  	DEPT. CMP	SETOR_C	10.655,01
RH  	DEPT. CMP	SETOR_C	3.601,00
RH  	DEPT. CMP	SETOR_C	3.316,30
RH  	DEPT. CMP	SETOR_C	3.264,30
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	4.018,30
RH  	DEPT. CMP	SETOR_C	2.373,80
RH  	DEPT. CMP	SETOR_C	2.925,00
RH  	DEPT. CMP	SETOR_C	9.062,03
RH  	DEPT. CMP	SETOR_C	3.250,00
RH  	DEPT. CMP	SETOR_C	6.671,22
RH  	DEPT. CMP	SETOR_C	3.250,00
RH  	DEPT. CMP	SETOR_C	1.105,00
RH  	DEPT. CMP	SETOR_C	9.062,03
RH  	DEPT. CMP	SETOR_C	2.600,00
RH  	DEPT. CMP	SETOR_C	2.600,00
RH  	DEPT. CMP	SETOR_C	3.250,00
RH  	DEPT. CMP	SETOR_C	3.250,00
RH  	DEPT. CMP	SETOR_C	5.525,00
RH  	DEPT. CMP	SETOR_C	3.900,00
RH  	DEPT. CMP	SETOR_C	3.250,00
RH  	DEPT. CMP	SETOR_C	8.125,00
RH  	DEPT. CMP	SETOR_C	3.575,00
RH  	DEPT. CMP	SETOR_C	4.225,00
RH  	DEPT. CMP	SETOR_C	1.625,00
RH  	DEPT. CMP	SETOR_C	10.487,50
RH  	DEPT. CMP	SETOR_C	3.250,00
RH  	DEPT. CMP	SETOR_C	4.550,00
RH  	DEPT. CMP	SETOR_C	6.500,00
RH  	DEPT. CMP	SETOR_C	1.300,00
RH  	DEPT. CMP	SETOR_D	1.515,80
RH  	DEPT. CMP	SETOR_D	2.522,00
RH  	DEPT. CMP	SETOR_D	1.755,00
RH  	DEPT. CMP	SETOR_D	6.671,22
RH  	DEPT. CMP	SETOR_D	1.515,80
RH  	DEPT. CMP	SETOR_D	1.787,50
RH  	DEPT. CMP	SETOR_D	1.515,80
RH  	DEPT. CMP	SETOR_D	2.139,80
RH  	DEPT. CMP	SETOR_D	2.120,30
RH  	DEPT. CMP	SETOR_D	1.548,30
RH  	DEPT. CMP	SETOR_D	1.378,00
RH  	DEPT. CMP	SETOR_D	1.755,00
RH  	DEPT. CMP	SETOR_D	910
RH  	DEPT. CMP	SETOR_D	1.722,50
RH  	DEPT. CMP	SETOR_D	1.722,50
RH  	DEPT. CMP	SETOR_D	2.087,80
RH  	DEPT. CMP	SETOR_D	2.522,00
RH  	DEPT. CMP	SETOR_D	1.722,50
RH  	DEPT. CMP	SETOR_D	529,7
RH  	DEPT. CMP	SETOR_D	2.879,50
RH  	DEPT. CMP	SETOR_D	2.087,80
RH  	DEPT. CMP	SETOR_D	1.722,50
RH  	DEPT. CMP	SETOR_D	1.722,50
RH  	DEPT. CMP	SETOR_A	2.879,50
RH  	DEPT. CMP	SETOR_A	1.755,00
RH  	DEPT. CMP	SETOR_A	1.722,50
RH  	DEPT. CMP	SETOR_A	910
RH  	DEPT. CMP	SETOR_A	6.671,22
RH  	DEPT. CMP	SETOR_A	1.397,50
RH  	DEPT. CMP	SETOR_A	2.925,00
RH  	DEPT. CMP	SETOR_A	910
RH  	DEPT. CMP	SETOR_A	1.625,00
RH  	DEPT. CMP	SETOR_A	910
RH  	DEPT. CMP	SETOR_A	1.397,50
RH  	DEPT. CMP	SETOR_A	910
RH  	DEPT. CMP	SETOR_A	910
RH  	DEPT. CMP	SETOR_A	975
RH  	DEPT. CMP	SETOR_A	910
RH  	DEPT. CMP	SETOR_A	1.417,00
RH  	DEPT. CMP	SETOR_A	1.417,00
RH  	DEPT. CMP	SETOR_A	910
RH  	DEPT. CMP	SETOR_A	910
RH  	DEPT. CMP	SETOR_A	910
RH  	DEPT. CMP	SETOR_A	910
RH  	DEPT. CMP	SETOR_A	910
RH  	DEPT. CMP	SETOR_A	910
RH  	DEPT. CMP	SETOR_A	1.417,00
RH  	DEPT. CMP	SETOR_A	910
RH  	DEPT. CMP	SETOR_A	910
RH  	DEPT. CMP	SETOR_A	910
RH  	DEPT. CMP	SETOR_A	1.017,25
RH  	DEPT. CMP	SETOR_A	910
RH  	DEPT. CMP	SETOR_A	1.300,00
RH  	DEPT. CMP	SETOR_A	1.170,00
RH  	DEPT. CMP	SETOR_A	1.300,00
RH  	DEPT. CMP	SETOR_A	2.275,00
RH  	DEPT. CMP	SETOR_A	1.300,00
RH  	DEPT. CMP	SETOR_A	6.500,00
RH  	DEPT. CMP	SETOR_A	1.105,00
RH  	DEPT. CMP	SETOR_A	3.250,00
RH  	DEPT. CMP	SETOR_A	4.225,00
RH  	DEPT. CMP	SETOR_A	2.145,00
RH  	DEPT. CMP	SETOR_A	1.950,00
RH  	DEPT. CMP	SETOR_A	2.145,00
RH  	DEPT. CMP	SETOR_A	585
RH  	DEPT. CMP	SETOR_A	2.275,00
RH  	DEPT. CMP	SETOR_A	2.145,00
RH  	DEPT. CMP	SETOR_A	1.007,50
RH  	DEPT. CMP	SETOR_A	1.950,00
RH  	DEPT. CMP	SETOR_A	975
RH  	DEPT. CMP	SETOR_C	1.950,00
RH  	DEPT. CMP	SETOR_D	1.430,00
RH  	DEPT. CMP	SETOR_D	2.145,00
RH  	DEPT. CMP	SETOR_D	9.062,03
RH  	DEPT. CMP	SETOR_D	2.145,00
RH  	DEPT. CMP	SETOR_D	2.600,00
RH  	DEPT. CMP	SETOR_D	1.560,00
RH  	DEPT. CMP	SETOR_D	1.628,25
RH  	DEPT. CMP	SETOR_D	715
RH  	DEPT. CMP	SETOR_D	1.625,00
RH  	DEPT. CMP	SETOR_D	3.250,00
RH  	DEPT. CMP	SETOR_D	1.235,00
